21 31 66  #SUP: 0.034482758620689655 #UTIL: 1899
21 31 79  #SUP: 0.034482758620689655 #UTIL: 1920


21 31 80  #SUP: 0.034482758620689655 #UTIL: 1920
21 66 79  #SUP: 0.034482758620689655 #UTIL: 2006



21 66 80  #SUP: 0.034482758620689655 #UTIL: 2006
21 79 80  #SUP: 0.034482758620689655 #UTIL: 2027
31 79 80  #SUP: 0.034482758620689655 #UTIL: 1834
66 79 80  #SUP: 0.034482758620689655 #UTIL: 1920
21 31 66 79  #SUP: 0.034482758620689655 #UTIL: 2546
21 31 66 80  #SUP: 0.034482758620689655 #UTIL: 2546
21 31 79 80  #SUP: 0.034482758620689655 #UTIL: 2567
21 66 79 80  #SUP: 0.034482758620689655 #UTIL: 2653
31 66 79 80  #SUP: 0.034482758620689655 #UTIL: 2460
21 31 66 79 80  #SUP: 0.034482758620689655 #UTIL: 3193
